Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,dgzin,EG,Neon,1.18,254.0,39,29,4,10,77.0,151.0,28.0,12.0,6.0,6.0,LOUD,17,EG,27,1,0.785,0.382,1.167
AllMaps,C0M,EG,Sova,0.97,174.0,25,27,12,-2,70.0,119.0,32.0,4.0,6.0,-2.0,LOUD,17,EG,27,1,0.603,0.365,0.968
AllMaps,Okeanos,EG,Omen,0.89,171.0,26,28,19,-2,70.0,92.0,35.0,1.0,4.0,-3.0,LOUD,17,EG,27,1,0.549,0.352,0.901
AllMaps,bao,EG,Killjoy,0.85,188.0,30,34,5,-4,68.0,125.0,32.0,5.0,2.0,3.0,LOUD,17,EG,27,1,0.571,0.343,0.914
AllMaps,NagZ,KRÜ,Viper,1.02,188.0,29,28,3,1,60.0,130.0,34.0,1.0,3.0,-2.0,KRU,14,LEV,26,0,0.64,0.286,0.926
AllMaps,mta,KRÜ,Waylay,0.8,146.0,22,30,3,-8,65.0,93.0,21.0,5.0,7.0,-2.0,KRU,14,LEV,26,0,0.495,0.271,0.766
AllMaps,Governor,KRÜ,Skye,0.78,157.0,19,30,17,-11,65.0,106.0,24.0,0.0,2.0,-2.0,KRU,14,LEV,26,0,0.472,0.336,0.808
AllMaps,benG,KRÜ,Brimstone,0.72,134.0,18,29,11,-11,58.0,94.0,31.0,1.0,4.0,-3.0,KRU,14,LEV,26,0,0.451,0.314,0.765
AllMaps,infiltrator,KRÜ,Chamber,0.71,172.0,24,34,9,-10,55.0,115.0,22.0,5.0,12.0,-7.0,KRU,14,LEV,26,0,0.514,0.308,0.822
AllMaps,Neon,LEV,Yoru,1.41,262.0,39,21,6,18,85.0,154.0,23.0,13.0,2.0,11.0,KRU,14,LEV,26,1,0.808,0.442,1.25
AllMaps,spike,LEV,Viper,1.16,192.0,30,23,12,7,75.0,127.0,20.0,4.0,1.0,3.0,KRU,14,LEV,26,1,0.726,0.441,1.167
AllMaps,kiNgg,LEV,Brimstone,1.09,208.0,29,21,9,8,78.0,128.0,32.0,1.0,3.0,-2.0,KRU,14,LEV,26,1,0.713,0.391,1.104
AllMaps,blowz,LEV,Fade,1.05,186.0,26,23,14,3,85.0,123.0,31.0,2.0,2.0,0.0,KRU,14,LEV,26,1,0.679,0.415,1.094
AllMaps,Sato,LEV,Waylay,0.95,186.0,27,24,5,3,70.0,123.0,34.0,8.0,4.0,4.0,KRU,14,LEV,26,1,0.687,0.357,1.044
AllMaps,brawk,NRG,Sova,1.26,217.0,34,27,10,7,67.0,138.0,12.0,5.0,3.0,2.0,NRG,26,100T,20,1,0.742,0.425,1.167
AllMaps,skuba,NRG,Killjoy,1.2,173.0,30,23,11,7,76.0,128.0,29.0,6.0,2.0,4.0,NRG,26,100T,20,1,0.734,0.438,1.172
AllMaps,mada,NRG,Neon,1.1,198.0,33,28,9,5,74.0,125.0,22.0,11.0,5.0,6.0,NRG,26,100T,20,1,0.724,0.424,1.148
AllMaps,keiko,NRG,Viper,1.01,197.0,32,32,12,0,65.0,129.0,48.0,4.0,2.0,2.0,NRG,26,100T,20,1,0.673,0.395,1.068
AllMaps,Ethan,NRG,Omen,0.77,143.0,20,32,24,-12,72.0,98.0,32.0,4.0,4.0,0.0,NRG,26,100T,20,1,0.504,0.364,0.868
AllMaps,bang,100T,Viper,1.09,173.0,33,26,9,7,74.0,109.0,41.0,3.0,4.0,-1.0,NRG,26,100T,20,0,0.724,0.393,1.117
AllMaps,Cryocells,100T,Veto,1.06,203.0,33,27,3,6,78.0,134.0,43.0,4.0,4.0,0.0,NRG,26,100T,20,0,0.754,0.338,1.092
AllMaps,Asuna,100T,Omen,0.95,169.0,26,28,22,-2,83.0,101.0,25.0,2.0,4.0,-2.0,NRG,26,100T,20,0,0.563,0.384,0.947
AllMaps,Timotino,100T,Neon,0.71,204.0,30,37,11,-7,61.0,129.0,28.0,6.0,12.0,-6.0,NRG,26,100T,20,0,0.547,0.318,0.864
AllMaps,vora,100T,Fade,0.67,124.0,20,31,11,-11,74.0,78.0,31.0,1.0,6.0,-5.0,NRG,26,100T,20,0,0.44,0.335,0.775
AllMaps,leaf,G2,Viper,1.26,245.0,40,25,10,15,78.0,157.0,17.0,2.0,4.0,-2.0,G2,26,C9,20,1,0.762,0.409,1.171
AllMaps,BABYBAY,G2,Iso,1.24,232.0,40,28,9,12,74.0,151.0,21.0,7.0,7.0,0.0,G2,26,C9,20,1,0.771,0.417,1.188
AllMaps,valyn,G2,Astra,1.08,214.0,33,30,19,3,76.0,132.0,26.0,6.0,0.0,6.0,G2,26,C9,20,1,0.71,0.444,1.154
AllMaps,trent,G2,Skye,0.98,179.0,27,31,25,-4,83.0,126.0,30.0,2.0,0.0,2.0,G2,26,C9,20,1,0.564,0.44,1.004
AllMaps,jawgemo,G2,Waylay,0.93,189.0,28,30,14,-2,74.0,124.0,15.0,9.0,9.0,0.0,G2,26,C9,20,1,0.585,0.384,0.969
AllMaps,penny,C9,Waylay,1.07,229.0,37,35,8,2,65.0,145.0,22.0,4.0,9.0,-5.0,G2,26,C9,20,0,0.704,0.352,1.056
AllMaps,v1c,C9,Astra,1.06,198.0,31,32,16,-1,72.0,124.0,30.0,6.0,2.0,4.0,G2,26,C9,20,0,0.64,0.416,1.056
AllMaps,OXY,C9,Veto,0.95,219.0,37,37,3,0,65.0,141.0,39.0,6.0,6.0,0.0,G2,26,C9,20,0,0.675,0.304,0.98
AllMaps,Zellsis,C9,Sage,0.77,127.0,17,31,25,-14,70.0,84.0,12.0,0.0,5.0,-5.0,G2,26,C9,20,0,0.413,0.339,0.752
AllMaps,Xeppaa,C9,Fade,0.73,142.0,22,33,23,-11,63.0,89.0,33.0,4.0,4.0,0.0,G2,26,C9,20,0,0.499,0.345,0.844
AllMaps,Demon1,ENVY,Astra,0.96,186.0,35,34,7,1,75.0,128.0,38.0,1.0,6.0,-5.0,ENVY,19,EG,29,0,0.636,0.345,0.981
AllMaps,Eggsterr,ENVY,Yoru,0.94,196.0,32,36,13,-4,73.0,131.0,23.0,6.0,8.0,-2.0,ENVY,19,EG,29,0,0.577,0.367,0.943
AllMaps,Rossy,ENVY,Killjoy,0.81,145.0,23,35,14,-12,63.0,100.0,31.0,0.0,2.0,-2.0,ENVY,19,EG,29,0,0.484,0.336,0.82
AllMaps,keznit,ENVY,Neon,0.78,181.0,27,36,12,-9,65.0,105.0,19.0,7.0,8.0,-1.0,ENVY,19,EG,29,0,0.514,0.345,0.859
AllMaps,P0PPIN,ENVY,Sova,0.69,156.0,25,36,16,-11,60.0,100.0,27.0,6.0,4.0,2.0,ENVY,19,EG,29,0,0.501,0.353,0.854
AllMaps,dgzin,EG,Yoru,1.83,334.0,58,25,13,33,75.0,210.0,27.0,10.0,5.0,5.0,ENVY,19,EG,29,1,0.857,0.465,1.322
AllMaps,supamen,EG,Astra,1.35,256.0,39,28,23,11,83.0,157.0,33.0,8.0,1.0,7.0,ENVY,19,EG,29,1,0.814,0.475,1.289
AllMaps,bao,EG,Killjoy,1.06,169.0,34,30,17,4,69.0,142.0,23.0,1.0,5.0,-4.0,ENVY,19,EG,29,1,0.674,0.368,1.042
AllMaps,C0M,EG,Sova,0.92,178.0,24,29,15,-5,77.0,120.0,14.0,3.0,1.0,2.0,ENVY,19,EG,29,1,0.529,0.415,0.944
