Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,Melser,KRÜ,Omen,0.86,154.0,33,37,14,-4,75.0,99.0,32.0,1.0,8.0,-7.0,LOUD,24,KRU,35,0,0.509,0.357,0.866
AllMaps,cortezia,MIBR,Killjoy,1.45,271.0,50,29,7,21,71.0,178.0,38.0,4.0,6.0,-2.0,MIBR,27,100T,22,1,0.851,0.395,1.246
AllMaps,aspas,MIBR,Jett,1.25,250.0,43,31,10,12,78.0,158.0,25.0,8.0,5.0,3.0,MIBR,27,100T,22,1,0.791,0.447,1.238
AllMaps,Verno,MIBR,Sova,0.95,181.0,27,33,16,-6,71.0,119.0,37.0,3.0,4.0,-1.0,MIBR,27,100T,22,1,0.565,0.373,0.938
AllMaps,xenom,MIBR,Viper,0.85,155.0,28,32,11,-4,67.0,101.0,45.0,1.0,2.0,-1.0,MIBR,27,100T,22,1,0.524,0.356,0.88
AllMaps,artzin,MIBR,Harbor,0.54,151.0,25,40,15,-15,71.0,95.0,16.0,3.0,13.0,-10.0,MIBR,27,100T,22,1,0.463,0.316,0.78
AllMaps,Cryocells,100T,Jett,1.22,233.0,47,32,3,15,80.0,143.0,30.0,5.0,6.0,-1.0,MIBR,27,100T,22,0,0.776,0.35,1.126
AllMaps,Asuna,100T,Omen,1.0,231.0,36,36,14,0,73.0,163.0,21.0,10.0,3.0,7.0,MIBR,27,100T,22,0,0.678,0.412,1.089
AllMaps,eeiu,100T,Sova,0.93,180.0,31,32,13,-1,78.0,122.0,26.0,1.0,2.0,-1.0,MIBR,27,100T,22,0,0.581,0.382,0.964
AllMaps,zander,100T,Viper,0.73,172.0,27,36,9,-9,71.0,108.0,20.0,7.0,2.0,5.0,MIBR,27,100T,22,0,0.508,0.38,0.888
AllMaps,Kess,100T,Killjoy,0.68,151.0,24,37,15,-13,67.0,105.0,30.0,7.0,6.0,1.0,MIBR,27,100T,22,0,0.505,0.355,0.859
AllMaps,Sato,LEV,Raze,1.28,266.0,74,51,6,23,70.0,171.0,28.0,14.0,10.0,4.0,LEV,32,NRG,38,0,0.814,0.403,1.217
AllMaps,C0M,LEV,Fade,0.91,138.0,30,42,28,-12,66.0,103.0,21.0,3.0,4.0,-1.0,LEV,32,NRG,38,0,0.509,0.36,0.87
AllMaps,kiNgg,LEV,Viper,0.87,170.0,36,52,31,-16,69.0,116.0,19.0,6.0,4.0,2.0,LEV,32,NRG,38,0,0.526,0.387,0.913
AllMaps,Okeanos,LEV,Omen,0.83,163.0,41,52,19,-11,69.0,102.0,29.0,7.0,12.0,-5.0,LEV,32,NRG,38,0,0.523,0.344,0.867
AllMaps,tex,LEV,Killjoy,0.81,152.0,41,48,9,-7,67.0,113.0,38.0,3.0,7.0,-4.0,LEV,32,NRG,38,0,0.534,0.338,0.872
AllMaps,mada,NRG,Raze,1.23,273.0,69,48,3,21,71.0,169.0,32.0,23.0,14.0,9.0,LEV,32,NRG,38,1,0.816,0.366,1.182
AllMaps,s0m,NRG,Omen,1.09,200.0,50,43,26,7,73.0,121.0,28.0,6.0,8.0,-2.0,LEV,32,NRG,38,1,0.73,0.382,1.112
AllMaps,brawk,NRG,Vyse,1.07,166.0,39,37,27,2,77.0,121.0,26.0,3.0,1.0,2.0,LEV,32,NRG,38,1,0.664,0.431,1.094
AllMaps,skuba,NRG,Viper,0.98,204.0,52,48,9,4,76.0,144.0,23.0,4.0,6.0,-2.0,LEV,32,NRG,38,1,0.713,0.376,1.089
AllMaps,Ethan,NRG,Fade,0.87,170.0,35,46,38,-11,76.0,108.0,22.0,1.0,4.0,-3.0,LEV,32,NRG,38,1,0.495,0.36,0.855
AllMaps,artzin,MIBR,Yoru,1.07,235.0,31,27,6,4,68.0,147.0,26.0,9.0,9.0,0.0,MIBR,11,LEV,26,0,0.744,0.356,1.1
AllMaps,xenom,MIBR,Omen,0.75,149.0,20,28,9,-8,78.0,92.0,36.0,4.0,0.0,4.0,MIBR,11,LEV,26,0,0.505,0.412,0.917
AllMaps,cortezia,MIBR,Vyse,0.73,185.0,24,31,5,-7,62.0,119.0,33.0,2.0,4.0,-2.0,MIBR,11,LEV,26,0,0.524,0.281,0.805
AllMaps,aspas,MIBR,Raze,0.59,143.0,19,29,7,-10,73.0,102.0,21.0,3.0,2.0,1.0,MIBR,11,LEV,26,0,0.468,0.333,0.801
AllMaps,Verno,MIBR,Fade,0.51,127.0,14,30,11,-16,59.0,84.0,27.0,2.0,2.0,0.0,MIBR,11,LEV,26,0,0.411,0.315,0.725
AllMaps,kiNgg,LEV,Viper,1.85,311.0,44,16,7,28,78.0,202.0,38.0,4.0,4.0,0.0,MIBR,11,LEV,26,1,0.871,0.426,1.297
AllMaps,C0M,LEV,Fade,1.16,159.0,20,16,13,4,84.0,104.0,31.0,0.0,1.0,-1.0,MIBR,11,LEV,26,1,0.661,0.426,1.087
AllMaps,Sato,LEV,Raze,1.16,241.0,32,27,11,5,76.0,168.0,25.0,5.0,9.0,-4.0,MIBR,11,LEV,26,1,0.784,0.391,1.174
AllMaps,tex,LEV,Killjoy,0.94,208.0,27,27,7,0,73.0,131.0,32.0,6.0,3.0,3.0,MIBR,11,LEV,26,1,0.654,0.383,1.037
AllMaps,Okeanos,LEV,Omen,0.9,154.0,21,22,20,-1,81.0,97.0,31.0,2.0,3.0,-1.0,MIBR,11,LEV,26,1,0.571,0.384,0.955
AllMaps,brawk,NRG,Sova,1.41,284.0,40,22,5,18,79.0,182.0,22.0,5.0,2.0,3.0,NRG,26,LOUD,13,1,0.836,0.42,1.256
AllMaps,s0m,NRG,Viper,1.32,226.0,31,22,24,9,79.0,153.0,28.0,3.0,4.0,-1.0,NRG,26,LOUD,13,1,0.788,0.426,1.213
AllMaps,mada,NRG,Neon,1.2,219.0,31,22,7,9,67.0,139.0,26.0,6.0,7.0,-1.0,NRG,26,LOUD,13,1,0.76,0.37,1.13
AllMaps,skuba,NRG,Killjoy,1.19,172.0,27,18,5,9,79.0,115.0,33.0,2.0,3.0,-1.0,NRG,26,LOUD,13,1,0.714,0.367,1.081
AllMaps,Ethan,NRG,Omen,0.98,159.0,18,21,20,-3,85.0,95.0,16.0,2.0,5.0,-3.0,NRG,26,LOUD,13,1,0.515,0.387,0.901
AllMaps,cauanzin,LOUD,Breach,1.06,177.0,26,24,5,2,64.0,130.0,27.0,5.0,1.0,4.0,NRG,26,LOUD,13,0,0.675,0.368,1.043
AllMaps,lukxo,LOUD,Cypher,0.8,172.0,22,27,8,-5,56.0,112.0,24.0,3.0,5.0,-2.0,NRG,26,LOUD,13,0,0.524,0.312,0.836
AllMaps,Virtyy,LOUD,Neon,0.78,195.0,25,33,10,-8,64.0,118.0,27.0,10.0,8.0,2.0,NRG,26,LOUD,13,0,0.541,0.369,0.91
AllMaps,pANcada,LOUD,Omen,0.57,135.0,18,34,10,-16,51.0,89.0,40.0,2.0,0.0,2.0,NRG,26,LOUD,13,0,0.458,0.343,0.801
AllMaps,RobbieBk,LOUD,Sova,0.52,102.0,14,29,5,-15,46.0,72.0,38.0,1.0,4.0,-3.0,NRG,26,LOUD,13,0,0.39,0.228,0.618
AllMaps,Asuna,100T,Yoru,1.45,286.0,34,19,14,15,83.0,190.0,21.0,5.0,5.0,0.0,100T,26,KRU,9,1,0.845,0.455,1.299
AllMaps,Kess,100T,Fade,1.29,178.0,23,13,15,10,83.0,104.0,29.0,1.0,0.0,1.0,100T,26,KRU,9,1,0.701,0.465,1.165
AllMaps,zander,100T,Omen,1.29,243.0,28,19,17,9,80.0,150.0,22.0,6.0,3.0,3.0,100T,26,KRU,9,1,0.782,0.454,1.237
AllMaps,eeiu,100T,Sova,1.25,213.0,27,17,11,10,83.0,140.0,38.0,2.0,1.0,1.0,100T,26,KRU,9,1,0.762,0.451,1.214
AllMaps,Cryocells,100T,Chamber,1.12,188.0,26,16,6,10,83.0,114.0,13.0,9.0,3.0,6.0,100T,26,KRU,9,1,0.699,0.408,1.107
AllMaps,Dantedeu5,KRÜ,Neon,0.83,193.0,21,29,7,-8,63.0,125.0,27.0,6.0,10.0,-4.0,100T,26,KRU,9,0,0.55,0.312,0.862
AllMaps,Shyy,KRÜ,Vyse,0.78,171.0,18,27,6,-9,60.0,123.0,24.0,2.0,3.0,-1.0,100T,26,KRU,9,0,0.5,0.303,0.803
AllMaps,keznit,KRÜ,Omen,0.75,157.0,17,26,11,-9,57.0,98.0,25.0,2.0,5.0,-3.0,100T,26,KRU,9,0,0.471,0.315,0.786
AllMaps,Melser,KRÜ,Fade,0.74,131.0,15,27,11,-12,54.0,90.0,21.0,2.0,2.0,0.0,100T,26,KRU,9,0,0.437,0.331,0.768
AllMaps,Mazino,KRÜ,Viper,0.5,122.0,13,29,9,-16,57.0,75.0,28.0,0.0,3.0,-3.0,100T,26,KRU,9,0,0.383,0.289,0.672
AllMaps,Kess,100T,Brimstone,1.31,225.0,33,22,13,11,83.0,139.0,29.0,5.0,1.0,4.0,100T,26,NRG,14,1,0.778,0.47,1.249
AllMaps,eeiu,100T,Fade,1.27,225.0,35,21,9,14,78.0,135.0,31.0,5.0,4.0,1.0,100T,26,NRG,14,1,0.774,0.436,1.21
AllMaps,zander,100T,Viper,1.2,205.0,32,21,8,11,80.0,125.0,27.0,4.0,1.0,3.0,100T,26,NRG,14,1,0.745,0.443,1.188
AllMaps,Asuna,100T,Raze,1.14,222.0,27,25,18,2,83.0,146.0,19.0,4.0,9.0,-5.0,100T,26,NRG,14,1,0.704,0.4,1.104
AllMaps,Cryocells,100T,Yoru,1.12,213.0,31,25,9,6,80.0,136.0,28.0,5.0,2.0,3.0,100T,26,NRG,14,1,0.749,0.436,1.185
AllMaps,skuba,NRG,Viper,1.0,164.0,24,26,9,-2,63.0,117.0,16.0,0.0,0.0,0.0,100T,26,NRG,14,0,0.548,0.392,0.939
AllMaps,Ethan,NRG,Kayo,0.9,184.0,24,34,20,-10,73.0,125.0,21.0,3.0,4.0,-1.0,100T,26,NRG,14,0,0.545,0.371,0.916
AllMaps,brawk,NRG,Fade,0.86,201.0,27,34,15,-7,70.0,132.0,15.0,3.0,2.0,1.0,100T,26,NRG,14,0,0.544,0.379,0.922
AllMaps,s0m,NRG,Brimstone,0.69,143.0,19,31,20,-12,70.0,104.0,24.0,2.0,7.0,-5.0,100T,26,NRG,14,0,0.469,0.331,0.8
AllMaps,mada,NRG,Raze,0.58,166.0,20,33,3,-13,53.0,109.0,29.0,9.0,10.0,-1.0,100T,26,NRG,14,0,0.498,0.237,0.735
AllMaps,aspas,MIBR,Raze,1.1,226.0,41,38,6,3,66.0,143.0,25.0,11.0,7.0,4.0,MIBR,23,KRU,35,0,0.724,0.377,1.101
AllMaps,cortezia,MIBR,Vyse,0.93,165.0,37,41,8,-4,60.0,118.0,44.0,2.0,2.0,0.0,MIBR,23,KRU,35,0,0.562,0.35,0.912
AllMaps,xenom,MIBR,Astra,0.91,169.0,31,37,25,-6,78.0,118.0,31.0,4.0,5.0,-1.0,MIBR,23,KRU,35,0,0.548,0.38,0.928
AllMaps,artzin,MIBR,Yoru,0.71,172.0,35,47,13,-12,57.0,126.0,18.0,4.0,12.0,-8.0,MIBR,23,KRU,35,0,0.515,0.311,0.826
AllMaps,Verno,MIBR,Fade,0.63,116.0,23,40,11,-17,64.0,82.0,24.0,4.0,7.0,-3.0,MIBR,23,KRU,35,0,0.46,0.314,0.774
AllMaps,keznit,KRÜ,Omen,1.6,303.0,57,31,25,26,88.0,191.0,22.0,10.0,2.0,8.0,MIBR,23,KRU,35,0,0.85,0.487,1.337
AllMaps,Melser,KRÜ,Fade,1.19,199.0,43,33,23,10,84.0,132.0,25.0,4.0,4.0,0.0,MIBR,23,KRU,35,0,0.743,0.429,1.172
AllMaps,Mazino,KRÜ,Viper,1.06,217.0,42,35,14,7,76.0,145.0,27.0,6.0,7.0,-1.0,MIBR,23,KRU,35,0,0.749,0.393,1.142
AllMaps,Dantedeu5,KRÜ,Neon,0.86,167.0,31,36,16,-5,76.0,109.0,26.0,9.0,9.0,0.0,MIBR,23,KRU,35,0,0.529,0.38,0.909
AllMaps,Shyy,KRÜ,Vyse,0.86,137.0,30,32,14,-2,81.0,90.0,18.0,4.0,3.0,1.0,MIBR,23,KRU,35,0,0.535,0.397,0.933
AllMaps,Sato,LEV,Yoru,1.19,253.0,62,51,11,11,66.0,162.0,41.0,15.0,14.0,1.0,LEV,34,LOUD,36,0,0.808,0.407,1.215
AllMaps,kiNgg,LEV,Viper,0.99,159.0,37,42,23,-5,73.0,109.0,31.0,2.0,4.0,-2.0,LEV,34,LOUD,36,0,0.53,0.372,0.902
AllMaps,Okeanos,LEV,Brimstone,0.94,190.0,45,52,32,-7,71.0,114.0,46.0,6.0,5.0,1.0,LEV,34,LOUD,36,0,0.575,0.389,0.964
AllMaps,C0M,LEV,Fade,0.94,177.0,43,47,16,-4,64.0,119.0,23.0,4.0,7.0,-3.0,LEV,34,LOUD,36,0,0.56,0.347,0.907
AllMaps,tex,LEV,Gekko,0.84,167.0,46,48,7,-2,67.0,107.0,37.0,6.0,7.0,-1.0,LEV,34,LOUD,36,0,0.584,0.332,0.916
AllMaps,Virtyy,LOUD,Raze,1.26,256.0,61,45,15,16,74.0,157.0,21.0,15.0,13.0,2.0,LEV,34,LOUD,36,1,0.789,0.437,1.225
AllMaps,lukxo,LOUD,Viper,1.24,245.0,62,44,11,18,79.0,157.0,32.0,13.0,3.0,10.0,LEV,34,LOUD,36,1,0.796,0.447,1.243
AllMaps,pANcada,LOUD,Brimstone,0.95,186.0,47,47,18,0,71.0,122.0,39.0,4.0,5.0,-1.0,LEV,34,LOUD,36,1,0.647,0.373,1.02
AllMaps,RobbieBk,LOUD,Skye,0.83,148.0,37,46,12,-9,69.0,104.0,30.0,3.0,2.0,1.0,LEV,34,LOUD,36,1,0.519,0.374,0.893
AllMaps,cauanzin,LOUD,Gekko,0.67,141.0,33,51,22,-18,63.0,100.0,22.0,2.0,10.0,-8.0,LEV,34,LOUD,36,1,0.47,0.317,0.787
AllMaps,Verno,MIBR,Tejo,1.39,182.0,27,13,12,14,83.0,127.0,25.0,3.0,3.0,0.0,MIBR,26,100T,14,1,0.753,0.448,1.201
AllMaps,aspas,MIBR,Jett,1.31,252.0,36,21,9,15,80.0,154.0,21.0,5.0,4.0,1.0,MIBR,26,100T,14,1,0.79,0.443,1.233
AllMaps,cortezia,MIBR,Omen,1.29,267.0,38,25,14,13,83.0,175.0,23.0,6.0,2.0,4.0,MIBR,26,100T,14,1,0.812,0.459,1.271
AllMaps,xenom,MIBR,Viper,0.99,208.0,30,23,12,7,80.0,128.0,29.0,4.0,2.0,2.0,MIBR,26,100T,14,1,0.729,0.418,1.147
AllMaps,artzin,MIBR,Breach,0.75,183.0,28,27,9,1,65.0,108.0,29.0,5.0,6.0,-1.0,MIBR,26,100T,14,1,0.618,0.342,0.96
AllMaps,eeiu,100T,Tejo,1.08,217.0,28,31,10,-3,70.0,132.0,40.0,2.0,1.0,1.0,MIBR,26,100T,14,0,0.623,0.411,1.035
AllMaps,Cryocells,100T,Sage,0.94,200.0,27,32,5,-5,68.0,131.0,23.0,3.0,6.0,-3.0,MIBR,26,100T,14,0,0.564,0.309,0.873
AllMaps,Asuna,100T,Raze,0.83,182.0,25,32,7,-7,73.0,120.0,24.0,8.0,7.0,1.0,MIBR,26,100T,14,0,0.537,0.358,0.896
AllMaps,zander,100T,Astra,0.67,129.0,15,31,22,-16,75.0,88.0,25.0,3.0,5.0,-2.0,MIBR,26,100T,14,0,0.448,0.341,0.789
AllMaps,Boostio,100T,Breach,0.51,103.0,14,33,7,-19,58.0,67.0,31.0,1.0,4.0,-3.0,MIBR,26,100T,14,0,0.378,0.269,0.647
AllMaps,Shyy,KRÜ,Vyse,1.16,217.0,33,25,6,8,69.0,150.0,30.0,1.0,2.0,-1.0,KRU,13,MIBR,26,0,0.737,0.358,1.095
AllMaps,keznit,KRÜ,Neon,0.98,199.0,26,30,9,-4,67.0,136.0,27.0,9.0,6.0,3.0,KRU,13,MIBR,26,0,0.591,0.399,0.991
AllMaps,adverso,KRÜ,Tejo,0.8,174.0,21,29,7,-8,62.0,117.0,21.0,3.0,4.0,-1.0,KRU,13,MIBR,26,0,0.524,0.32,0.844
AllMaps,Mazino,KRÜ,Breach,0.7,169.0,20,31,12,-11,74.0,113.0,21.0,5.0,2.0,3.0,KRU,13,MIBR,26,0,0.504,0.381,0.885
AllMaps,Melser,KRÜ,Omen,0.64,123.0,15,27,8,-12,72.0,86.0,21.0,2.0,5.0,-3.0,KRU,13,MIBR,26,0,0.42,0.318,0.737
AllMaps,aspas,MIBR,Neon,1.34,263.0,37,23,7,14,77.0,161.0,29.0,5.0,5.0,0.0,KRU,13,MIBR,26,1,0.814,0.411,1.225
AllMaps,Verno,MIBR,Tejo,1.27,194.0,26,17,14,9,79.0,130.0,21.0,4.0,3.0,1.0,KRU,13,MIBR,26,1,0.742,0.437,1.18
AllMaps,cortezia,MIBR,Omen,1.15,197.0,29,22,13,7,79.0,132.0,40.0,4.0,4.0,0.0,KRU,13,MIBR,26,1,0.756,0.416,1.172
AllMaps,artzin,MIBR,Breach,0.94,233.0,32,30,9,2,69.0,148.0,30.0,4.0,3.0,1.0,KRU,13,MIBR,26,1,0.705,0.386,1.091
AllMaps,xenom,MIBR,Viper,0.85,137.0,18,23,13,-5,69.0,92.0,23.0,2.0,5.0,-3.0,KRU,13,MIBR,26,1,0.469,0.346,0.815
AllMaps,Verno,MIBR,Tejo,1.08,174.0,27,29,10,-2,68.0,124.0,27.0,1.0,3.0,-2.0,MIBR,18,SEN,26,0,0.582,0.373,0.955
AllMaps,xenom,MIBR,Viper,1.07,200.0,35,31,4,4,66.0,134.0,38.0,4.0,4.0,0.0,MIBR,18,SEN,26,0,0.733,0.33,1.063
AllMaps,aspas,MIBR,Neon,0.92,215.0,34,36,8,-2,66.0,147.0,21.0,10.0,8.0,2.0,MIBR,18,SEN,26,0,0.621,0.376,0.997
AllMaps,cortezia,MIBR,Omen,0.87,172.0,26,33,17,-7,59.0,112.0,32.0,1.0,4.0,-3.0,MIBR,18,SEN,26,0,0.512,0.331,0.843
AllMaps,artzin,MIBR,Breach,0.56,129.0,16,35,21,-19,64.0,84.0,19.0,3.0,6.0,-3.0,MIBR,18,SEN,26,0,0.429,0.307,0.736
AllMaps,zekken,SEN,Yoru,1.49,313.0,49,27,9,22,70.0,186.0,28.0,12.0,7.0,5.0,MIBR,18,SEN,26,1,0.856,0.456,1.312
AllMaps,johnqt,SEN,Breach,1.27,204.0,32,23,20,9,86.0,132.0,32.0,2.0,2.0,0.0,MIBR,18,SEN,26,1,0.748,0.441,1.189
AllMaps,bang,SEN,Omen,1.13,218.0,36,28,20,8,66.0,133.0,36.0,7.0,4.0,3.0,MIBR,18,SEN,26,1,0.76,0.414,1.174
AllMaps,N4RRATE,SEN,Tejo,1.13,200.0,33,27,16,6,84.0,125.0,20.0,2.0,2.0,0.0,MIBR,18,SEN,26,1,0.71,0.422,1.133
AllMaps,Zellsis,SEN,Viper,0.48,102.0,14,33,14,-19,66.0,68.0,34.0,2.0,4.0,-2.0,MIBR,18,SEN,26,1,0.395,0.307,0.702
AllMaps,johnqt,SEN,Breach,1.05,174.0,57,54,32,3,67.0,110.0,22.0,4.0,6.0,-2.0,SEN,41,G2,49,0,0.668,0.368,1.036
AllMaps,bang,SEN,Omen,0.99,214.0,64,67,32,-3,71.0,130.0,33.0,9.0,9.0,0.0,SEN,41,G2,49,0,0.618,0.386,1.004
AllMaps,zekken,SEN,Neon,0.96,226.0,72,69,12,3,64.0,139.0,25.0,18.0,15.0,3.0,SEN,41,G2,49,0,0.706,0.392,1.099
AllMaps,N4RRATE,SEN,Sova,0.87,173.0,51,64,34,-13,72.0,124.0,23.0,6.0,4.0,2.0,SEN,41,G2,49,0,0.539,0.392,0.93
AllMaps,Zellsis,SEN,Cypher,0.84,180.0,55,65,23,-10,66.0,124.0,25.0,7.0,12.0,-5.0,SEN,41,G2,49,0,0.542,0.34,0.882
AllMaps,trent,G2,Tejo,1.35,220.0,73,51,28,22,78.0,154.0,28.0,11.0,4.0,7.0,SEN,41,G2,49,1,0.789,0.457,1.246
AllMaps,valyn,G2,Astra,1.11,201.0,70,60,20,10,74.0,130.0,28.0,6.0,7.0,-1.0,SEN,41,G2,49,1,0.738,0.395,1.133
AllMaps,leaf,G2,Vyse,1.0,200.0,63,65,27,-2,71.0,134.0,22.0,9.0,8.0,1.0,SEN,41,G2,49,1,0.615,0.395,1.011
AllMaps,jawgemo,G2,Yoru,0.96,206.0,62,63,22,-1,71.0,133.0,18.0,16.0,18.0,-2.0,SEN,41,G2,49,1,0.622,0.365,0.988
AllMaps,JonahP,G2,Breach,0.94,168.0,51,60,52,-9,74.0,101.0,20.0,4.0,7.0,-3.0,SEN,41,G2,49,1,0.524,0.364,0.888
AllMaps,zekken,SEN,Jett,1.35,275.0,45,32,9,13,82.0,169.0,26.0,10.0,8.0,2.0,SEN,26,C9,18,1,0.822,0.46,1.282
AllMaps,bang,SEN,Omen,1.18,228.0,36,28,20,8,82.0,137.0,26.0,4.0,3.0,1.0,SEN,26,C9,18,1,0.761,0.433,1.193
AllMaps,johnqt,SEN,Kayo,1.04,207.0,33,28,16,5,86.0,149.0,22.0,3.0,0.0,3.0,SEN,26,C9,18,1,0.738,0.456,1.194
AllMaps,Zellsis,SEN,Vyse,1.03,175.0,29,27,12,2,77.0,114.0,24.0,3.0,7.0,-4.0,SEN,26,C9,18,1,0.656,0.378,1.035
AllMaps,N4RRATE,SEN,Tejo,0.94,200.0,29,32,24,-3,77.0,131.0,25.0,4.0,3.0,1.0,SEN,26,C9,18,1,0.596,0.399,0.995
AllMaps,mitch,C9,Sova,1.17,215.0,35,32,10,3,73.0,142.0,23.0,5.0,4.0,1.0,SEN,26,C9,18,0,0.722,0.417,1.139
AllMaps,v1c,C9,Omen,0.93,167.0,26,33,17,-7,77.0,116.0,40.0,3.0,2.0,1.0,SEN,26,C9,18,0,0.558,0.398,0.956
AllMaps,OXY,C9,Yoru,0.89,191.0,30,34,11,-4,70.0,126.0,32.0,4.0,9.0,-5.0,SEN,26,C9,18,0,0.577,0.352,0.929
AllMaps,Xeppaa,C9,Vyse,0.86,192.0,27,36,15,-9,68.0,137.0,36.0,2.0,3.0,-1.0,SEN,26,C9,18,0,0.557,0.358,0.915
AllMaps,neT,C9,Deadlock,0.6,157.0,24,37,7,-13,66.0,95.0,26.0,6.0,5.0,1.0,SEN,26,C9,18,0,0.487,0.322,0.81
AllMaps,trent,G2,Tejo,1.39,248.0,57,37,23,20,82.0,168.0,22.0,5.0,4.0,1.0,G2,35,SEN,31,0,0.807,0.455,1.262
AllMaps,leaf,G2,Viper,1.16,235.0,57,44,11,13,71.0,146.0,23.0,8.0,4.0,4.0,G2,35,SEN,31,0,0.764,0.425,1.189
AllMaps,valyn,G2,Omen,1.07,220.0,54,44,18,10,73.0,138.0,32.0,5.0,11.0,-6.0,G2,35,SEN,31,0,0.753,0.376,1.129
AllMaps,jawgemo,G2,Yoru,0.87,175.0,37,46,23,-9,79.0,117.0,17.0,7.0,13.0,-6.0,G2,35,SEN,31,0,0.526,0.365,0.891
AllMaps,JonahP,G2,Breach,0.86,141.0,31,41,28,-10,77.0,93.0,19.0,4.0,5.0,-1.0,G2,35,SEN,31,0,0.496,0.373,0.869
AllMaps,bang,SEN,Omen,1.15,214.0,51,44,20,7,74.0,141.0,34.0,7.0,5.0,2.0,G2,35,SEN,31,1,0.763,0.425,1.188
AllMaps,johnqt,SEN,Tejo,1.0,189.0,43,46,24,-3,73.0,134.0,25.0,2.0,1.0,1.0,G2,35,SEN,31,1,0.584,0.408,0.992
AllMaps,Zellsis,SEN,Viper,0.97,181.0,40,48,19,-8,71.0,130.0,22.0,9.0,4.0,5.0,G2,35,SEN,31,1,0.556,0.405,0.961
AllMaps,zekken,SEN,Yoru,0.95,181.0,42,47,24,-5,74.0,112.0,26.0,12.0,8.0,4.0,G2,35,SEN,31,1,0.547,0.408,0.955
AllMaps,N4RRATE,SEN,Breach,0.72,160.0,36,51,19,-15,62.0,110.0,25.0,7.0,11.0,-4.0,G2,35,SEN,31,1,0.51,0.321,0.831
AllMaps,zander,100T,Brimstone,1.93,331.0,54,20,14,34,90.0,200.0,26.0,7.0,1.0,6.0,100T,26,NRG,16,1,0.856,0.499,1.355
AllMaps,Cryocells,100T,Chamber,1.13,183.0,30,24,10,6,74.0,133.0,31.0,5.0,7.0,-2.0,100T,26,NRG,16,1,0.737,0.388,1.126
AllMaps,Asuna,100T,Neon,1.05,247.0,36,34,17,2,81.0,160.0,29.0,10.0,5.0,5.0,100T,26,NRG,16,1,0.73,0.43,1.16
AllMaps,Boostio,100T,Breach,0.92,171.0,24,29,21,-5,76.0,118.0,29.0,2.0,3.0,-1.0,100T,26,NRG,16,1,0.532,0.378,0.91
AllMaps,eeiu,100T,Tejo,0.91,134.0,21,27,17,-6,86.0,98.0,12.0,0.0,2.0,-2.0,100T,26,NRG,16,1,0.459,0.385,0.844
AllMaps,mada,NRG,Raze,0.96,221.0,32,33,8,-1,67.0,157.0,20.0,8.0,11.0,-3.0,100T,26,NRG,16,0,0.648,0.343,0.992
AllMaps,Ethan,NRG,Breach,0.95,171.0,27,31,12,-4,76.0,115.0,24.0,3.0,1.0,2.0,100T,26,NRG,16,0,0.557,0.416,0.973
AllMaps,brawk,NRG,Tejo,0.88,203.0,29,35,11,-6,76.0,139.0,18.0,2.0,3.0,-1.0,100T,26,NRG,16,0,0.541,0.374,0.915
AllMaps,s0m,NRG,Brimstone,0.87,195.0,27,35,22,-8,79.0,133.0,26.0,4.0,3.0,1.0,100T,26,NRG,16,0,0.559,0.395,0.954
AllMaps,FiNESSE,NRG,Cypher,0.71,164.0,19,31,22,-12,67.0,108.0,15.0,1.0,6.0,-5.0,100T,26,NRG,16,0,0.455,0.328,0.783
AllMaps,mitch,C9,Breach,1.2,207.0,35,31,24,4,66.0,141.0,22.0,3.0,6.0,-3.0,C9,22,EG,28,0,0.735,0.378,1.113
AllMaps,v1c,C9,Brimstone,0.99,193.0,34,37,12,-3,68.0,124.0,39.0,3.0,3.0,0.0,C9,22,EG,28,0,0.611,0.381,0.992
AllMaps,OXY,C9,Neon,0.9,227.0,40,46,5,-6,68.0,151.0,30.0,14.0,12.0,2.0,C9,22,EG,28,0,0.595,0.344,0.938
AllMaps,Xeppaa,C9,Tejo,0.9,170.0,28,36,15,-8,60.0,117.0,15.0,2.0,3.0,-1.0,C9,22,EG,28,0,0.508,0.349,0.857
AllMaps,neT,C9,Cypher,0.61,160.0,27,43,13,-16,64.0,104.0,21.0,2.0,2.0,0.0,C9,22,EG,28,0,0.474,0.334,0.807
AllMaps,yay,EG,Cypher,1.38,295.0,53,35,7,18,76.0,185.0,34.0,13.0,6.0,7.0,C9,22,EG,28,1,0.853,0.435,1.288
AllMaps,icy,EG,Raze,1.27,275.0,51,36,8,15,78.0,179.0,28.0,7.0,9.0,-2.0,C9,22,EG,28,1,0.823,0.399,1.222
AllMaps,supamen,EG,Brimstone,0.98,192.0,32,32,21,0,74.0,126.0,31.0,0.0,0.0,0.0,C9,22,EG,28,1,0.616,0.408,1.024
AllMaps,Derrek,EG,Tejo,0.96,160.0,31,28,9,3,74.0,110.0,27.0,1.0,3.0,-2.0,C9,22,EG,28,1,0.628,0.37,0.999
AllMaps,NaturE,EG,Breach,0.79,154.0,26,34,23,-8,72.0,106.0,23.0,5.0,6.0,-1.0,C9,22,EG,28,1,0.509,0.358,0.867
