Mapa,Time1,Score_T1,Time2,Score_T2,target,Score_T1,R_T1,ACS_T1,KAST_T1,ADR_T1,HS%_T1,Impacto_T1,+/-_T1,FK_T1,FD_T1,+/-_FK_FD_T1,Score_T2,R_T2,ACS_T2,KAST_T2,ADR_T2,HS%_T2,Impacto_T2,+/-_T2,FK_T2,FD_T2,+/-_FK_FD_T2,delta_R,delta_ACS,delta_KAST,delta_ADR,delta_HS%,delta_Impacto
Ascent,LEV,10,FUR,13,0,10,0.9179999999999999,194.2,70.4,126.8,20.0,0.5986,-9,13.0,10.0,3.0,13,1.0939999999999999,207.6,75.8,131.4,25.4,0.72,9,10.0,13.0,-3.0,-0.17599999999999993,-13.400000000000006,-5.3999999999999915,-4.6000000000000085,-5.399999999999999,-0.12139999999999995
Ascent,LEV,5,LOUD,13,0,5,0.646,139.8,42.2,98.2,20.8,0.45940000000000003,-35,5.0,13.0,-8.0,13,1.3960000000000001,225.0,84.4,154.4,23.8,0.8236000000000001,35,13.0,5.0,8.0,-0.7500000000000001,-85.19999999999999,-42.2,-56.2,-3.0,-0.3642000000000001
Ascent,LEV,10,LOUD,13,0,10,0.922,173.4,62.0,112.2,31.6,0.5808,-10,9.0,14.0,-5.0,13,1.058,197.0,72.2,128.4,31.4,0.658,10,14.0,9.0,5.0,-0.136,-23.599999999999994,-10.200000000000003,-16.200000000000003,0.20000000000000284,-0.07720000000000005
Ascent,LEV,11,SEN,13,0,11,0.966,194.0,70.8,129.2,23.4,0.6072,-4,12.0,12.0,0.0,13,1.054,208.6,76.2,132.6,25.6,0.6898000000000001,4,12.0,12.0,0.0,-0.08800000000000008,-14.599999999999994,-5.400000000000006,-3.4000000000000057,-2.200000000000003,-0.08260000000000012
Ascent,LOUD,1,100T,13,0,1,0.5,122.6,43.0,80.4,35.0,0.46699999999999997,-42,3.0,11.0,-8.0,13,1.5,256.2,93.0,168.4,28.2,0.8240000000000001,42,11.0,3.0,8.0,-1.0,-133.6,-50.0,-88.0,6.800000000000001,-0.3570000000000001
Ascent,LOUD,13,100T,5,1,13,1.204,218.0,75.4,135.8,16.8,0.679,16,10.0,8.0,2.0,5,0.806,169.2,66.8,112.8,24.6,0.5636,-16,8.0,10.0,-2.0,0.3979999999999999,48.80000000000001,8.600000000000009,23.000000000000014,-7.800000000000001,0.11540000000000006
Ascent,LOUD,11,EG,13,0,11,1.004,199.8,71.0,128.2,23.6,0.6376,0,11.0,13.0,-2.0,13,0.9960000000000001,202.6,70.2,128.8,22.2,0.631,0,13.0,11.0,2.0,0.007999999999999896,-2.799999999999983,0.7999999999999972,-0.6000000000000227,1.4000000000000021,0.006599999999999939
Ascent,LOUD,13,FUR,5,1,13,1.254,218.2,86.8,141.8,27.2,0.792,21,10.0,8.0,2.0,5,0.77,163.4,62.2,106.2,26.2,0.5237999999999999,-21,8.0,10.0,-2.0,0.484,54.79999999999998,24.599999999999994,35.60000000000001,1.0,0.2682000000000001
Ascent,LOUD,13,LEV,7,1,13,1.1380000000000001,212.6,79.0,143.0,27.8,0.73,16,16.0,4.0,12.0,7,0.85,183.8,66.0,126.4,32.2,0.5922000000000001,-16,4.0,16.0,-12.0,0.28800000000000014,28.799999999999983,13.0,16.599999999999994,-4.400000000000002,0.13779999999999992
Ascent,LOUD,13,MIBR,7,1,13,1.214,231.6,84.0,150.8,24.0,0.8140000000000001,28,12.0,8.0,4.0,7,0.776,175.8,62.0,119.8,26.8,0.54,-28,8.0,12.0,-4.0,0.43799999999999994,55.79999999999998,22.0,31.000000000000014,-2.8000000000000007,0.274
