Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
jawgemo,G2,Waylay,0.968,207.3,257,268,82,-11,69.8,133.6,20.8,64,71,-7,17,13,0.76,0.539
Timotino,100T,Waylay,0.899,212.0,311,335,92,-24,67.8,140.6,28.6,79,82,-3,20,11,0.55,0.521
dgzin,EG,Waylay,0.89,186.0,47,52,14,-5,63.3,124.3,32.7,10,7,3,3,0,0.0,0.516
Sato,LEV,Waylay,0.864,189.0,99,103,33,-4,65.0,124.9,29.3,22,32,-10,7,5,0.71,0.506
OXY,C9,Waylay,0.84,190.0,34,36,4,-2,63.0,122.0,44.0,8,8,0,2,2,1.0,0.489
icy,EG,Waylay,0.75,171.7,40,49,7,-9,65.7,109.7,34.3,10,10,0,3,1,0.33,0.468
Okeanos,EG,Waylay,0.8,153.7,43,50,16,-7,70.7,94.0,40.0,9,9,0,3,2,0.67,0.464
Virtyy,LOUD,Waylay,0.8,183.0,18,19,4,-1,69.0,110.0,19.0,1,4,-3,1,0,0.0,0.464
penny,C9,Waylay,0.8,177.5,26,30,6,-4,57.0,113.5,11.5,3,7,-4,2,0,0.0,0.441
N4RRATE,SEN,Waylay,0.656,158.2,58,94,34,-36,71.2,107.8,19.0,10,16,-6,5,2,0.4,0.44
mta,KRÜ,Waylay,0.775,153.5,23,27,5,-4,69.0,95.0,33.0,4,5,-1,2,0,0.0,0.437
spike,LEV,Waylay,0.493,138.7,30,56,8,-26,56.7,86.7,27.0,10,8,2,3,0,0.0,0.414
dgzin,EG,Yoru,1.275,248.2,177,124,30,53,73.0,157.6,30.1,42,32,10,8,4,0.5,0.768
infiltrator,KRÜ,Yoru,1.197,264.0,60,49,13,11,80.0,168.3,27.7,7,7,0,3,0,0.0,0.766
keznit,ENVY,Yoru,1.23,253.0,188,153,69,35,71.0,163.6,23.6,46,31,15,12,0,0.0,0.766
BABYBAY,G2,Yoru,1.193,230.3,44,35,15,9,75.7,155.7,29.3,12,4,8,3,2,0.67,0.754
Sato,LEV,Yoru,1.142,252.4,250,201,51,49,71.9,163.9,37.2,49,44,5,13,6,0.46,0.753
Xeppaa,C9,Yoru,1.218,222.6,86,68,29,18,76.6,148.8,33.0,14,8,6,5,3,0.6,0.75
Neon,LEV,Yoru,1.208,220.2,67,49,13,18,79.8,138.0,24.0,23,5,18,4,3,0.75,0.747
zekken,MIBR,Yoru,1.111,233.1,577,497,160,80,73.2,147.1,25.8,142,108,34,33,19,0.58,0.737
koalanoob,FUR,Yoru,1.18,220.0,77,62,12,15,71.8,143.6,22.2,18,12,6,5,3,0.6,0.733
jawgemo,G2,Yoru,1.022,217.3,773,721,253,52,73.0,139.2,23.0,167,144,23,48,36,0.75,0.714
Cryocells,100T,Yoru,1.043,210.4,284,250,85,34,73.3,136.0,27.9,38,36,2,17,8,0.47,0.696
OXY,C9,Yoru,1.054,220.0,81,72,22,9,71.2,136.2,33.2,17,18,-1,5,2,0.4,0.684
mada,NRG,Yoru,1.11,231.7,50,43,16,7,67.3,148.0,31.7,7,13,-6,3,1,0.33,0.684
penny,C9,Yoru,0.97,198.5,31,29,5,2,60.5,125.5,23.0,7,4,3,2,0,0.0,0.668
Reduxx,SEN,Yoru,0.992,204.4,87,84,26,3,68.6,135.0,37.4,23,16,7,5,2,0.4,0.666
leaf,G2,Yoru,0.95,177.0,11,11,6,0,88.0,142.0,31.0,0,1,-1,1,1,1.0,0.604
alym,FUR,Yoru,0.817,184.7,42,41,12,1,64.7,115.3,30.0,13,13,0,3,2,0.67,0.578
Dantedeu5,KRÜ,Yoru,0.951,203.5,126,129,45,-3,68.5,130.4,27.8,28,27,1,8,0,0.0,0.573
Okeanos,EG,Yoru,0.89,211.0,53,53,8,0,60.7,145.7,27.0,11,12,-1,3,0,0.0,0.573
Asuna,100T,Yoru,0.965,198.0,26,30,18,-4,81.5,129.5,24.0,6,5,1,2,2,1.0,0.567
mta,KRÜ,Yoru,0.95,204.3,47,48,8,-1,66.3,121.7,28.7,7,7,0,3,0,0.0,0.561
Palla,FUR,Yoru,0.87,206.7,37,44,13,-7,66.0,135.0,39.0,13,10,3,3,0,0.0,0.536
Ethan,NRG,Yoru,0.953,189.7,34,38,11,-4,62.0,118.0,18.7,9,6,3,3,1,0.33,0.518
N4RRATE,SEN,Yoru,0.8,202.0,14,16,3,-2,67.0,115.0,26.0,6,5,1,1,0,0.0,0.515
icy,EG,Yoru,0.777,210.7,51,60,15,-9,73.7,137.0,30.0,12,14,-2,3,2,0.67,0.501
yay,EG,Yoru,0.87,239.0,15,18,1,-3,53.0,148.0,32.0,5,6,-1,1,0,0.0,0.494
kiNgg,LEV,Yoru,0.904,187.8,61,71,15,-10,67.4,123.4,28.4,15,18,-3,5,1,0.2,0.483
Askia,2G,Yoru,0.857,180.5,84,93,21,-9,60.2,121.2,33.0,20,20,0,6,2,0.33,0.481
havoc,FUR,Yoru,0.728,179.8,49,64,9,-15,60.0,111.2,29.5,14,12,2,4,0,0.0,0.481
silentzz,2G,Yoru,0.72,183.3,33,44,8,-11,63.7,110.7,47.7,9,8,1,3,0,0.0,0.481
Eggsterr,ENVY,Yoru,0.851,180.8,195,221,69,-26,70.0,114.6,28.0,33,42,-9,13,5,0.38,0.473
artzin,FUR,Yoru,0.823,185.6,102,118,32,-16,67.0,119.6,22.3,25,33,-8,7,2,0.29,0.47
aspas,MIBR,Yoru,0.72,150.0,10,15,3,-5,64.0,103.0,25.0,4,3,1,1,0,0.0,0.468
Virtyy,LOUD,Yoru,0.72,171.8,74,97,24,-23,60.7,106.2,24.8,15,18,-3,6,0,0.0,0.432
spike,LEV,Yoru,0.69,186.0,32,43,6,-11,48.3,120.0,41.7,7,12,-5,3,0,0.0,0.422
Demon1,ENVY,Yoru,0.36,83.0,5,15,3,-10,44.0,67.0,30.0,1,4,-3,1,0,0.0,0.314
