Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
Ethan,NRG,Harbor,1.272,221.2,61,53,39,8,80.0,140.8,25.5,6,5,1,4,3,0.75,0.746
s0m,NRG,Harbor,1.02,239.0,18,17,7,1,86.0,161.0,37.0,1,3,-2,1,0,0.0,0.721
Mazino,MIBR,Harbor,1.082,224.4,87,74,22,13,77.0,151.4,28.6,9,12,-3,5,0,0.0,0.697
mitch,C9,Harbor,1.08,196.0,34,28,17,6,65.5,126.5,17.5,3,6,-3,2,0,0.0,0.646
valyn,G2,Harbor,0.98,199.0,30,29,7,1,68.0,131.5,30.0,3,5,-2,2,1,0.5,0.609
Okeanos,EG,Harbor,0.855,195.0,28,32,10,-4,65.5,117.0,60.5,1,3,-2,2,0,0.0,0.474
artzin,FUR,Harbor,0.799,181.1,88,97,33,-9,70.4,117.1,26.6,15,20,-5,7,7,1.0,0.47
pANcada,LOUD,Harbor,0.81,114.0,22,26,18,-4,79.0,66.0,63.0,2,2,0,2,0,0.0,0.443
Cryocells,100T,Iso,1.188,234.8,87,69,34,18,74.4,157.6,30.2,11,8,3,5,3,0.6,0.755
BABYBAY,G2,Iso,0.95,227.0,19,18,7,1,67.0,153.0,26.0,3,5,-2,1,1,1.0,0.667
v1c,C9,Iso,0.94,194.5,33,32,7,1,70.5,129.5,29.5,7,10,-3,2,2,1.0,0.606
jawgemo,G2,Iso,0.94,235.0,15,17,9,-2,85.0,147.0,30.0,4,2,2,1,1,1.0,0.6
keznit,ENVY,Iso,0.997,198.2,90,90,37,0,77.2,132.5,30.3,8,15,-7,6,0,0.0,0.593
N4RRATE,SEN,Iso,0.845,208.0,30,37,15,-7,66.5,136.0,28.5,8,5,3,2,0,0.0,0.535
artzin,FUR,Iso,0.95,232.0,17,18,5,-1,59.0,152.0,23.0,2,2,0,1,0,0.0,0.533
silentzz,2G,Iso,0.846,219.8,71,85,11,-14,61.8,148.8,45.8,10,13,-3,5,0,0.0,0.499
mada,NRG,Jett,1.225,246.5,192,146,35,46,76.7,156.5,25.8,55,36,19,11,6,0.55,0.768
aspas,MIBR,Jett,1.226,240.8,717,509,103,208,75.9,153.9,27.8,158,105,53,39,25,0.64,0.762
OXY,C9,Jett,1.093,253.8,339,297,51,42,71.5,158.0,28.2,85,62,23,18,8,0.44,0.749
gobera,2G,Jett,1.27,241.0,13,12,3,1,69.0,143.0,34.0,2,0,2,1,0,0.0,0.747
keznit,ENVY,Jett,1.133,235.2,268,221,44,47,72.5,147.6,26.0,75,49,26,15,2,0.13,0.739
Cryocells,100T,Jett,1.154,243.1,164,125,17,39,76.0,154.6,28.1,26,28,-2,8,2,0.25,0.725
zekken,MIBR,Jett,1.056,226.4,177,147,26,30,70.9,149.7,29.7,48,38,10,10,5,0.5,0.725
silentzz,2G,Jett,1.11,228.7,52,37,2,15,67.0,146.7,26.7,14,10,4,3,1,0.33,0.723
Neon,LEV,Jett,1.26,234.0,16,14,2,2,70.0,167.0,36.0,3,4,-1,1,0,0.0,0.718
Virtyy,LOUD,Jett,1.102,206.4,86,68,15,18,74.0,130.8,28.6,20,18,2,5,3,0.6,0.71
dgzin,EG,Jett,1.016,213.6,115,102,21,13,70.4,140.7,24.6,31,21,10,7,2,0.29,0.708
yay,EG,Jett,1.008,225.1,198,184,35,14,64.8,146.7,28.6,60,51,9,11,6,0.55,0.706
