Jogador,Time,Mapa,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
Urango,FUR,Haven,0.27,133.0,7,17,1,-10,44.0,89.0,29.0,2,4,-2,1,0,0.0,0.597
aspas,MIBR,Icebox,1.573,303.4,152,74,19,78,82.9,193.0,28.0,30,7,23,7,7,1.0,1.403
leaf,G2,Icebox,1.345,282.0,43,29,5,14,79.0,180.5,24.0,6,2,4,2,1,0.5,1.339
yay,EG,Icebox,1.305,260.0,49,35,7,14,75.0,164.5,22.5,17,9,8,2,2,1.0,1.284
pANcada,LOUD,Icebox,1.313,226.7,59,42,15,17,73.7,159.0,34.7,5,3,2,3,1,0.33,1.264
mada,NRG,Icebox,1.232,252.0,92,70,19,22,74.2,163.4,28.4,26,19,7,5,4,0.8,1.258
Cryocells,100T,Icebox,1.252,258.0,134,94,11,40,77.2,164.2,28.8,20,22,-2,6,2,0.33,1.236
icy,EG,Icebox,1.15,254.5,49,38,6,11,69.0,172.5,32.5,6,5,1,2,2,1.0,1.232
trent,G2,Icebox,1.24,218.5,31,24,15,7,76.5,153.0,20.0,4,3,1,2,1,0.5,1.224
keznit,ENVY,Icebox,1.174,250.4,91,75,21,16,73.0,157.4,18.4,27,11,16,5,0,0.0,1.221
lukxo,LOUD,Icebox,1.153,234.3,59,52,16,7,69.7,154.3,32.3,15,7,8,3,1,0.33,1.204
Ethan,NRG,Icebox,1.286,216.6,76,64,52,12,80.2,140.6,25.8,6,8,-2,5,4,0.8,1.198
brawk,NRG,Icebox,1.146,214.6,76,63,35,13,76.0,144.8,17.4,7,1,6,5,4,0.8,1.182
N4RRATE,SEN,Icebox,1.196,228.6,80,66,26,14,73.0,162.2,28.4,6,12,-6,5,2,0.4,1.175
xenom,MIBR,Icebox,1.124,200.9,105,81,41,24,74.6,133.7,35.9,12,9,3,7,7,1.0,1.166
bang,100T,Icebox,1.12,220.8,74,69,33,5,74.6,145.0,29.8,12,12,0,5,2,0.4,1.162
Askia,2G,Icebox,1.055,249.5,32,32,8,0,79.0,172.0,31.5,6,3,3,2,0,0.0,1.15
Mazino,MIBR,Icebox,1.082,224.4,87,74,22,13,77.0,151.4,28.6,9,12,-3,5,0,0.0,1.139
cortezia,SEN,Icebox,1.073,202.6,99,88,33,11,77.4,144.9,32.1,12,14,-2,7,7,1.0,1.129
skuba,NRG,Icebox,1.077,222.7,48,46,19,2,80.7,158.0,26.0,4,7,-3,3,3,1.0,1.124
zekken,MIBR,Icebox,0.97,212.8,84,78,23,6,70.4,138.6,33.8,20,13,7,5,2,0.4,1.122
Zellsis,C9,Icebox,1.068,210.6,75,67,22,8,70.4,141.4,25.6,11,11,0,5,2,0.4,1.12
Virtyy,LOUD,Icebox,1.065,200.0,35,29,6,6,77.0,132.0,34.0,7,8,-1,2,1,0.5,1.104
lz,2G,Icebox,1.045,217.0,30,29,9,1,71.0,142.5,41.5,6,6,0,2,0,0.0,1.097
Shyy,KRÜ,Icebox,1.076,177.8,73,59,14,14,73.4,116.2,22.8,7,6,1,5,0,0.0,1.093
Verno,MIBR,Icebox,1.116,167.0,79,68,37,11,78.1,116.6,26.4,8,10,-2,7,7,1.0,1.089
s0m,NRG,Icebox,0.99,203.6,72,71,21,1,80.4,135.4,32.6,12,8,4,5,4,0.8,1.085
mitch,C9,Icebox,1.078,194.2,66,57,27,9,70.2,129.0,23.8,4,9,-5,4,2,0.5,1.073
eeiu,FUR,Icebox,1.107,203.5,89,88,36,1,73.2,135.0,31.7,5,6,-1,6,2,0.33,1.064
valyn,G2,Icebox,0.98,199.0,30,29,7,1,68.0,131.5,30.0,3,5,-2,2,1,0.5,1.011
Palla,FUR,Icebox,0.92,223.0,9,12,2,-3,69.0,145.0,34.0,2,1,1,1,0,0.0,0.966
OXY,C9,Icebox,0.91,210.5,73,78,10,-5,71.0,139.8,29.2,15,13,2,4,2,0.5,0.95
Xeppaa,C9,Icebox,0.998,197.5,61,64,20,-3,62.0,141.5,27.8,7,7,0,4,2,0.5,0.936
neT,C9,Icebox,0.912,195.2,63,68,23,-5,70.0,123.8,28.2,11,7,4,4,2,0.5,0.923
cauanzin,LOUD,Icebox,0.96,181.0,45,46,23,-1,71.0,121.7,20.7,4,7,-3,3,1,0.33,0.92
heat,FUR,Icebox,0.85,198.0,18,25,5,-7,70.5,127.5,35.5,3,1,2,2,0,0.0,0.917
Demon1,ENVY,Icebox,0.86,174.5,28,31,6,-3,66.5,124.5,41.0,6,4,2,2,0,0.0,0.892
tex,MIBR,Icebox,0.862,186.8,77,80,9,-3,69.2,128.8,35.4,11,14,-3,5,0,0.0,0.889
v1c,C9,Icebox,0.92,186.0,58,65,16,-7,69.0,132.8,29.5,8,13,-5,4,2,0.5,0.874
Melser,KRÜ,Icebox,0.886,170.8,59,73,35,-14,80.4,119.2,24.8,7,9,-2,5,0,0.0,0.872
kiNgg,LEV,Icebox,0.922,185.0,61,78,29,-17,69.2,128.0,27.0,6,13,-7,5,0,0.0,0.868
johnqt,SEN,Icebox,0.932,153.8,54,68,58,-14,78.6,102.2,24.4,3,4,-1,5,2,0.4,0.864
Derrek,EG,Icebox,0.875,174.5,31,35,10,-4,71.0,125.0,38.0,0,2,-2,2,2,1.0,0.857
adverso,KRÜ,Icebox,0.958,171.2,71,76,31,-5,62.8,116.8,19.8,7,9,-2,6,0,0.0,0.856
Okeanos,EG,Icebox,0.887,181.3,41,47,21,-6,67.3,111.0,50.3,3,7,-4,3,0,0.0,0.854
dgzin,EG,Icebox,0.67,186.0,15,19,6,-4,63.0,124.0,53.0,5,4,1,1,0,0.0,0.841
supamen,EG,Icebox,0.825,165.0,30,36,14,-6,75.0,111.0,42.5,0,1,-1,2,2,1.0,0.838
Kess,100T,Icebox,0.76,160.0,25,36,10,-11,67.5,117.0,25.5,5,3,2,2,0,0.0,0.834
Asuna,100T,Icebox,0.877,175.8,80,95,47,-15,67.7,115.8,25.5,6,14,-8,6,2,0.33,0.832
jawgemo,G2,Icebox,0.895,158.0,22,29,13,-7,71.0,104.5,26.5,1,5,-4,2,1,0.5,0.824
artzin,FUR,Icebox,0.799,181.1,88,97,33,-9,70.4,117.1,26.6,15,20,-5,7,7,1.0,0.822
zander,100T,Icebox,0.758,170.0,73,101,39,-28,69.3,111.3,22.3,17,16,1,6,2,0.33,0.822
NaturE,EG,Icebox,0.805,176.5,32,40,24,-8,67.5,117.0,21.5,5,7,-2,2,2,1.0,0.807
Sato,LEV,Icebox,0.777,189.0,46,50,5,-4,59.3,122.3,32.3,9,14,-5,3,0,0.0,0.8
Khalil,FUR,Icebox,0.66,168.0,8,13,3,-5,69.0,103.0,19.0,1,0,1,1,0,0.0,0.796
RobbieBk,LOUD,Icebox,0.73,159.5,27,35,5,-8,60.5,113.5,34.0,2,2,0,2,1,0.5,0.785
Rossy,ENVY,Icebox,0.715,155.0,20,35,23,-15,73.5,107.0,27.5,2,3,-1,2,0,0.0,0.777
Boostio,100T,Icebox,0.692,163.2,43,68,13,-25,59.8,111.5,29.2,8,9,-1,4,2,0.5,0.756
C0M,EG,Icebox,0.686,146.6,52,84,18,-32,65.6,104.6,30.6,5,8,-3,5,0,0.0,0.741
JonahP,G2,Icebox,0.74,146.5,20,29,9,-9,61.5,104.5,20.5,6,7,-1,2,1,0.5,0.736
PxS,LEV,Icebox,0.615,143.0,18,32,19,-14,74.0,86.0,24.5,2,3,-1,2,0,0.0,0.719
FiNESSE,NRG,Icebox,0.75,127.5,21,27,6,-6,60.5,71.5,16.5,2,2,0,2,1,0.5,0.716
silentzz,2G,Icebox,0.64,153.5,20,33,2,-13,57.5,100.0,21.5,0,2,-2,2,0,0.0,0.697
havoc,FUR,Icebox,0.42,164.0,8,13,2,-5,56.0,105.0,30.0,5,5,0,1,0,0.0,0.693
pryze,FUR,Icebox,0.63,150.0,8,12,1,-4,56.0,94.0,19.0,0,2,-2,1,0,0.0,0.68
v1nny,LOUD,Icebox,0.56,126.0,11,20,6,-9,63.0,92.0,19.0,1,2,-1,1,0,0.0,0.657
gobera,2G,Icebox,0.375,102.0,12,30,6,-18,58.0,74.5,23.0,1,9,-8,2,0,0.0,0.594
raafa,FUR,Icebox,0.22,97.0,5,13,6,-8,50.0,57.0,24.0,1,2,-1,1,0,0.0,0.56
tuyz,FUR,Icebox,0.16,79.0,3,13,2,-10,46.0,69.0,30.0,0,2,-2,1,0,0.0,0.558
Urango,FUR,Icebox,0.14,95.0,3,13,2,-10,46.0,75.0,11.0,0,4,-4,1,0,0.0,0.542
penny,C9,Lotus,1.95,340.0,22,8,7,14,89.0,228.0,25.0,4,2,2,1,1,1.0,1.417
jakee,FUR,Lotus,1.59,280.0,19,9,8,10,89.0,176.0,24.0,1,1,0,1,1,1.0,1.374
lukxo,LOUD,Lotus,1.413,291.7,77,53,16,24,69.0,188.3,37.0,14,3,11,3,2,0.67,1.355
jawgemo,G2,Lotus,1.296,262.8,182,131,48,51,77.1,162.0,25.1,38,24,14,9,7,0.78,1.29
Asuna,100T,Lotus,1.21,269.0,77,59,21,18,71.5,172.2,28.5,15,13,2,4,3,0.75,1.265
dgzin,EG,Lotus,1.208,257.0,89,69,21,20,74.2,162.2,32.0,23,12,11,4,3,0.75,1.257
Sato,LEV,Lotus,1.176,265.8,94,82,19,12,73.4,174.8,27.6,21,19,2,5,3,0.6,1.253
brawk,NRG,Lotus,1.253,217.6,143,108,67,35,80.4,138.7,18.6,10,7,3,9,6,0.67,1.217
N4RRATE,SEN,Lotus,1.204,217.5,176,140,77,36,79.2,141.4,24.2,23,7,16,11,7,0.64,1.215
valyn,G2,Lotus,1.169,224.4,158,131,75,27,78.8,145.0,22.8,17,12,5,9,7,0.78,1.21
Okeanos,EG,Lotus,1.196,221.8,90,68,34,22,78.4,145.6,33.4,13,13,0,5,3,0.6,1.2
havoc,FUR,Lotus,1.013,251.0,65,62,15,3,73.7,152.3,37.3,20,10,10,3,1,0.33,1.188
Demon1,ENVY,Lotus,1.16,253.5,40,30,9,10,70.0,171.5,31.5,5,7,-2,2,1,0.5,1.185
johnqt,SEN,Lotus,1.2,184.4,146,125,114,21,82.7,122.5,29.0,13,8,5,11,7,0.64,1.185
pANcada,LOUD,Lotus,1.164,202.0,88,77,49,11,72.8,131.8,34.2,16,7,9,5,3,0.6,1.174
zekken,MIBR,Lotus,1.127,241.1,192,156,47,36,74.2,153.8,21.5,45,46,-1,11,7,0.64,1.174
kiNgg,LEV,Lotus,1.159,211.4,109,93,42,16,75.4,138.9,25.1,11,10,1,7,4,0.57,1.167
keznit,ENVY,Lotus,1.053,234.3,107,100,30,7,67.5,151.3,26.0,24,21,3,6,0,0.0,1.16
skuba,NRG,Lotus,1.177,206.3,101,74,45,27,79.8,136.3,25.3,9,11,-2,6,5,0.83,1.155
nataNk,LEV,Lotus,1.14,192.0,13,8,5,5,90.0,138.0,24.0,1,3,-2,1,1,1.0,1.152
bdog,FUR,Lotus,1.22,181.0,12,8,12,4,83.0,95.0,37.0,0,0,0,1,1,1.0,1.151
Shyy,KRÜ,Lotus,1.128,206.3,101,81,25,20,72.0,138.2,30.2,6,5,1,6,0,0.0,1.15
Derrek,EG,Lotus,1.061,202.8,123,114,53,9,73.9,141.2,28.5,13,8,5,8,5,0.62,1.149
supamen,EG,Lotus,1.104,205.9,128,117,32,11,65.2,139.6,37.0,15,11,4,8,5,0.62,1.147
OXY,C9,Lotus,1.012,248.6,250,240,56,10,73.8,162.9,27.6,60,60,0,13,6,0.46,1.144
v1c,C9,Lotus,1.094,200.5,212,198,120,14,75.2,132.5,30.3,22,19,3,13,6,0.46,1.142
eeiu,FUR,Lotus,1.11,185.8,63,48,26,15,82.5,117.0,31.5,7,7,0,4,3,0.75,1.133
s0m,NRG,Lotus,1.094,216.3,180,162,100,18,75.7,136.5,24.4,20,22,-2,11,6,0.55,1.133
leaf,G2,Lotus,1.074,218.9,117,103,40,14,72.1,148.9,24.1,18,20,-2,7,6,0.86,1.124
stellar,FUR,Lotus,1.02,216.0,15,12,6,3,83.0,144.0,22.0,1,2,-1,1,1,1.0,1.118
trent,G2,Lotus,1.039,187.6,137,124,52,13,78.2,127.0,28.4,17,16,1,9,7,0.78,1.112
aspas,MIBR,Lotus,0.972,218.0,172,167,38,5,69.7,146.9,25.6,39,31,8,10,2,0.2,1.087
icy,EG,Lotus,1.046,213.8,131,118,29,13,69.4,138.6,23.6,32,36,-4,8,5,0.62,1.084
Cryocells,100T,Lotus,0.99,213.2,61,61,21,0,75.5,144.0,29.8,13,8,5,4,3,0.75,1.068
Ethan,NRG,Lotus,1.04,203.1,165,161,83,4,74.9,128.4,21.7,17,19,-2,11,6,0.55,1.047
Verno,MIBR,Lotus,0.991,186.2,129,129,55,0,77.8,120.5,30.0,13,11,2,8,2,0.25,1.023
bang,100T,Lotus,0.993,188.3,158,154,75,4,72.6,113.4,32.8,21,24,-3,11,7,0.64,1.009
Askia,2G,Lotus,0.955,195.5,33,32,4,1,59.5,140.0,33.5,7,8,-1,2,0,0.0,0.987
C0M,EG,Lotus,0.986,164.6,84,87,38,-3,75.7,117.1,31.0,11,5,6,7,4,0.57,0.977
lz,2G,Lotus,0.998,202.2,89,93,47,-4,68.7,123.7,41.7,15,19,-4,6,0,0.0,0.937
Mazino,MIBR,Lotus,0.943,199.8,83,97,63,-14,78.2,127.5,26.2,9,9,0,6,0,0.0,0.934
FiNESSE,NRG,Lotus,0.954,179.8,61,74,40,-13,73.2,122.6,22.6,7,2,5,5,1,0.2,0.926
Xeppaa,C9,Lotus,0.938,186.6,189,207,79,-18,76.9,126.5,22.9,20,20,0,13,6,0.46,0.915
JonahP,G2,Lotus,0.99,178.7,123,138,92,-15,78.4,113.8,21.9,11,12,-1,9,7,0.78,0.912
silentzz,2G,Lotus,0.882,182.7,74,97,28,-23,68.5,126.8,33.0,11,8,3,6,0,0.0,0.906
heat,FUR,Lotus,0.837,177.3,52,54,17,-2,64.7,119.7,45.7,7,6,1,3,1,0.33,0.898
Zap,2G,Lotus,0.785,192.0,26,31,6,-5,72.5,133.5,29.0,2,1,1,2,0,0.0,0.897
Zellsis,C9,Lotus,0.952,177.8,143,151,70,-8,67.3,116.4,22.7,20,23,-3,11,7,0.64,0.885
NaturE,EG,Lotus,0.916,180.4,109,128,66,-19,71.8,113.2,22.9,10,10,0,8,5,0.62,0.879
Khalil,FUR,Lotus,0.92,185.0,51,54,25,-3,72.0,126.0,29.0,6,10,-4,3,1,0.33,0.875
zander,100T,Lotus,0.898,175.0,51,56,26,-5,66.5,104.5,25.2,8,6,2,4,3,0.75,0.875
yay,EG,Lotus,0.836,202.2,130,147,46,-17,69.1,132.8,34.5,14,26,-12,8,5,0.62,0.865
spike,LEV,Lotus,0.827,214.0,45,47,7,-2,56.7,140.7,23.7,12,18,-6,3,0,0.0,0.859
BABYBAY,G2,Lotus,0.9,194.0,29,35,12,-6,66.5,125.5,19.0,6,7,-1,2,1,0.5,0.851
tex,MIBR,Lotus,0.831,155.4,82,100,21,-18,71.1,103.9,34.7,14,12,2,7,4,0.57,0.849
mitch,C9,Lotus,0.898,170.6,166,208,125,-42,73.9,111.3,21.5,16,29,-13,13,6,0.46,0.844
cauanzin,LOUD,Lotus,0.816,189.4,79,95,31,-16,69.4,123.2,20.4,8,10,-2,5,3,0.6,0.834
neT,C9,Lotus,0.878,167.6,175,202,66,-27,68.2,109.7,32.5,19,24,-5,13,6,0.46,0.834
PxS,LEV,Lotus,0.94,166.0,14,17,11,-3,65.0,111.0,22.0,2,4,-2,1,0,0.0,0.829
nzr,MIBR,Lotus,0.912,164.2,45,57,18,-12,62.2,107.8,29.0,0,1,-1,4,0,0.0,0.828
Dantedeu5,KRÜ,Lotus,0.685,178.0,29,36,8,-7,67.5,114.0,29.0,8,7,1,2,0,0.0,0.826
mada,NRG,Lotus,0.81,190.5,151,181,49,-30,66.4,125.5,22.4,47,55,-8,11,6,0.55,0.824
Rossy,ENVY,Lotus,0.78,157.0,13,17,10,-4,70.0,99.0,18.0,2,1,1,1,0,0.0,0.823
cortezia,SEN,Lotus,0.823,173.8,136,166,56,-30,59.7,116.0,38.0,21,22,-1,10,2,0.2,0.823
raafa,FUR,Lotus,0.893,147.0,42,47,26,-5,74.0,98.7,28.3,3,5,-2,3,1,0.33,0.821
xenom,MIBR,Lotus,0.861,169.4,137,158,65,-21,66.8,107.9,33.8,12,22,-10,10,2,0.2,0.821
tuyz,LOUD,Lotus,0.902,139.2,49,55,21,-6,68.8,94.5,31.5,3,5,-2,4,3,0.75,0.802
Kess,100T,Lotus,0.715,174.5,28,29,5,-1,60.0,118.0,24.5,1,5,-4,2,1,0.5,0.798
gobera,2G,Lotus,0.81,157.2,68,89,39,-21,67.0,104.5,29.5,5,9,-4,6,0,0.0,0.79
RobbieBk,LOUD,Lotus,0.74,167.0,11,20,17,-9,73.0,107.0,23.0,0,1,-1,1,0,0.0,0.788
pryze,2G,Lotus,0.813,162.9,87,111,44,-24,62.1,108.1,23.4,3,11,-8,7,1,0.14,0.779
artzin,FUR,Lotus,0.76,172.5,129,178,73,-49,62.0,113.1,24.3,23,35,-12,10,2,0.2,0.774
Boostio,100T,Lotus,0.84,102.5,14,23,23,-9,81.5,65.0,27.0,0,1,-1,2,2,1.0,0.762
Melser,KRÜ,Lotus,0.748,146.5,67,96,40,-29,68.0,96.8,24.5,13,16,-3,6,0,0.0,0.754
v1nny,LOUD,Lotus,0.625,124.5,19,37,17,-18,72.0,86.0,29.5,2,6,-4,2,1,0.5,0.706
adverso,KRÜ,Lotus,0.59,136.8,37,64,16,-27,65.2,96.5,21.8,4,8,-4,4,0,0.0,0.688
Add3r,FUR,Lotus,0.56,154.0,10,14,3,-4,56.0,102.0,31.0,3,4,-1,1,1,1.0,0.68
Virtyy,LOUD,Lotus,0.62,164.0,15,21,1,-6,50.0,94.0,20.0,5,9,-4,1,0,0.0,0.673
BABYBAY,G2,Pearl,1.54,241.0,15,7,8,8,88.0,169.0,30.0,1,0,1,1,1,1.0,1.366
koalanoob,FUR,Pearl,1.45,292.0,25,12,4,13,65.0,186.0,17.0,7,2,5,1,0,0.0,1.334
s0m,NRG,Pearl,1.433,237.7,49,31,31,18,88.0,151.0,23.7,8,1,7,3,2,0.67,1.332
keiko,NRG,Pearl,1.36,243.7,43,29,9,14,85.3,161.7,31.7,8,0,8,3,2,0.67,1.323
trent,G2,Pearl,1.36,227.3,175,112,60,63,80.4,153.4,25.3,16,9,7,9,7,0.78,1.285
bao,EG,Pearl,1.295,252.5,49,36,11,13,71.0,184.5,23.5,5,3,2,2,1,0.5,1.281
mada,NRG,Pearl,1.208,261.0,101,74,27,27,79.5,164.5,30.8,22,18,4,6,4,0.67,1.276
Mazino,MIBR,Pearl,1.285,255.5,35,31,13,4,74.5,156.0,27.0,6,4,2,2,0,0.0,1.271
Melser,KRÜ,Pearl,1.255,207.5,30,26,21,4,80.0,151.5,25.5,4,2,2,2,0,0.0,1.234
pANcada,LOUD,Pearl,1.21,228.2,99,72,39,27,78.6,154.6,36.8,7,6,1,5,1,0.2,1.23
brawk,NRG,Pearl,1.376,212.8,70,45,26,25,79.4,138.8,21.2,4,6,-2,5,3,0.6,1.214
Reduxx,SEN,Pearl,1.18,242.0,20,16,6,4,71.0,149.0,27.0,7,3,4,1,1,1.0,1.213
Demon1,ENVY,Pearl,1.112,233.2,124,96,32,28,75.3,154.3,35.7,22,17,5,6,3,0.5,1.209
tex,MIBR,Pearl,1.277,229.0,50,36,8,14,74.3,143.3,37.3,5,6,-1,3,1,0.33,1.204
zekken,MIBR,Pearl,1.125,243.0,195,171,59,24,72.3,154.0,26.4,47,37,10,10,7,0.7,1.204
Xeppaa,C9,Pearl,1.176,226.1,175,149,51,26,73.7,149.3,28.1,19,15,4,10,5,0.5,1.203
johnqt,SEN,Pearl,1.173,198.3,188,149,56,39,79.4,134.8,25.5,20,12,8,11,8,0.73,1.187
P0PPIN,ENVY,Pearl,1.057,233.3,65,61,30,4,76.7,150.3,26.3,14,6,8,3,1,0.33,1.184
nzr,MIBR,Pearl,1.177,202.3,55,53,27,2,78.3,147.7,30.3,3,1,2,3,3,1.0,1.178
aspas,MIBR,Pearl,1.104,227.0,110,83,14,27,70.2,144.8,28.4,26,20,6,5,4,0.8,1.174
jawgemo,G2,Pearl,1.053,238.0,164,154,72,10,72.4,150.1,21.7,42,25,17,9,7,0.78,1.171
bang,100T,Pearl,1.134,196.4,215,195,139,20,81.1,125.1,33.4,24,20,4,14,9,0.64,1.167
Kyu,SEN,Pearl,1.05,221.0,17,15,9,2,88.0,147.0,24.0,2,3,-1,1,1,1.0,1.149
leaf,G2,Pearl,1.063,205.6,149,132,54,17,75.4,132.9,23.4,35,24,11,9,7,0.78,1.145
valyn,G2,Pearl,1.086,198.9,148,132,73,16,76.7,131.7,24.1,14,11,3,9,7,0.78,1.141
dgzin,EG,Pearl,1.035,205.3,112,101,27,11,66.3,134.2,27.7,33,23,10,6,2,0.33,1.116
Rossy,ENVY,Pearl,1.162,188.2,68,63,38,5,71.5,128.8,28.8,5,6,-1,4,2,0.5,1.115
v1c,C9,Pearl,1.128,189.7,150,137,83,13,76.8,120.4,29.9,14,17,-3,10,5,0.5,1.112
xenom,MIBR,Pearl,1.078,178.2,90,77,48,13,80.0,116.2,35.6,7,8,-1,5,4,0.8,1.103
Inspire,ENVY,Pearl,1.19,180.5,37,30,14,7,70.5,133.0,23.5,3,5,-2,2,1,0.5,1.101
Eggsterr,ENVY,Pearl,1.07,207.0,60,58,22,2,75.0,130.7,29.7,10,12,-2,3,1,0.33,1.076
mta,KRÜ,Pearl,1.04,217.0,32,31,7,1,67.5,128.5,34.5,5,5,0,2,0,0.0,1.069
Verno,MIBR,Pearl,1.02,179.7,45,44,19,1,81.0,120.3,23.0,5,3,2,3,2,0.67,1.066
benG,KRÜ,Pearl,1.165,201.5,29,30,16,-1,75.0,121.0,27.0,2,0,2,2,0,0.0,1.053
adverso,KRÜ,Pearl,1.01,188.5,28,27,12,1,69.0,122.5,19.5,2,1,1,2,0,0.0,1.048
yay,EG,Pearl,0.94,231.4,90,91,16,-1,61.2,152.0,37.6,24,15,9,5,2,0.4,1.026
supamen,EG,Pearl,1.034,182.9,111,111,57,0,68.7,113.0,42.1,12,8,4,7,3,0.43,1.025
cortezia,SEN,Pearl,0.982,190.5,103,101,24,2,68.3,129.0,35.8,11,12,-1,6,5,0.83,1.013
PxS,LEV,Pearl,0.972,179.0,67,69,23,-2,74.8,117.0,30.0,11,8,3,5,1,0.2,0.983
kiNgg,LEV,Pearl,0.954,188.0,64,67,29,-3,73.8,117.6,33.2,9,6,3,5,2,0.4,0.97
Shyy,KRÜ,Pearl,0.99,200.5,27,28,10,-1,69.5,133.0,27.0,4,4,0,2,0,0.0,0.968
JonahP,G2,Pearl,1.026,189.2,118,124,99,-6,79.6,121.9,22.0,8,17,-9,8,6,0.75,0.941
Cryocells,100T,Pearl,0.914,193.6,122,126,23,-4,67.0,125.1,29.4,24,23,1,8,2,0.25,0.935
skuba,NRG,Pearl,0.97,167.7,28,31,19,-3,87.3,105.7,32.3,3,3,0,3,2,0.67,0.931
neT,C9,Pearl,0.902,177.0,78,83,22,-5,71.8,113.5,36.8,15,11,4,6,3,0.5,0.922
Timotino,100T,Pearl,0.825,214.2,57,68,19,-11,69.2,147.0,35.0,16,15,1,4,2,0.5,0.921
Sato,LEV,Pearl,0.87,206.5,28,29,12,-1,66.5,146.0,34.5,7,11,-4,2,1,0.5,0.92
artzin,FUR,Pearl,0.987,216.2,109,115,58,-6,73.0,136.3,18.2,19,26,-7,6,4,0.67,0.92
gobera,2G,Pearl,0.873,196.3,42,48,12,-6,71.0,140.0,29.0,4,3,1,3,0,0.0,0.92
silentzz,2G,Pearl,0.86,199.0,41,48,15,-7,74.7,136.3,41.7,7,7,0,3,0,0.0,0.919
OXY,C9,Pearl,0.895,205.1,122,126,26,-4,66.5,134.8,27.9,24,30,-6,8,3,0.38,0.912
N4RRATE,SEN,Pearl,0.997,189.9,152,174,116,-22,75.6,125.6,19.6,14,23,-9,11,8,0.73,0.903
v1nny,LOUD,Pearl,0.977,174.0,43,50,44,-7,75.0,121.7,33.0,1,9,-8,3,1,0.33,0.892
vora,100T,Pearl,0.953,185.2,50,59,30,-9,65.5,123.0,31.5,6,6,0,4,2,0.5,0.892
Asuna,100T,Pearl,0.918,180.2,105,124,76,-19,74.6,114.5,22.9,15,15,0,8,2,0.25,0.888
nerve,FUR,Pearl,0.98,162.0,12,14,14,-2,78.0,112.0,38.0,0,1,-1,1,0,0.0,0.888
cauanzin,LOUD,Pearl,0.948,199.2,77,86,29,-9,68.2,132.4,26.0,12,15,-3,5,1,0.2,0.887
blowz,LEV,Pearl,0.89,198.5,27,29,7,-2,71.0,133.5,25.0,1,2,-1,2,1,0.5,0.876
keznit,ENVY,Pearl,0.874,201.6,87,95,30,-8,72.2,133.4,24.4,15,22,-7,5,1,0.2,0.876
eeiu,FUR,Pearl,0.896,178.0,73,78,40,-5,74.6,117.2,42.6,2,10,-8,5,0,0.0,0.874
zander,100T,Pearl,0.86,193.2,62,70,39,-8,75.8,123.8,26.2,5,9,-4,4,0,0.0,0.869
spike,LEV,Pearl,0.84,173.5,24,30,27,-6,73.5,97.0,21.5,4,2,2,2,1,0.5,0.866
mitch,C9,Pearl,0.878,175.8,77,88,37,-11,74.7,123.0,24.7,7,9,-2,6,3,0.5,0.865
Ethan,NRG,Pearl,0.88,185.0,63,74,24,-11,71.2,121.2,22.3,12,14,-2,6,4,0.67,0.859
Zellsis,C9,Pearl,0.93,172.9,190,216,128,-26,74.8,111.8,22.0,19,36,-17,14,9,0.64,0.858
NaturE,EG,Pearl,0.898,182.4,67,82,36,-15,70.2,125.4,22.0,6,11,-5,5,2,0.4,0.854
icy,EG,Pearl,0.816,193.8,78,91,17,-13,71.2,124.4,30.2,16,19,-3,5,2,0.4,0.848
Derrek,EG,Pearl,0.874,169.2,64,79,28,-15,67.8,122.2,25.4,3,4,-1,5,2,0.4,0.846
lukxo,LOUD,Pearl,0.895,201.5,29,31,11,-2,57.5,127.5,29.0,1,7,-6,2,0,0.0,0.842
FiNESSE,NRG,Pearl,0.903,146.7,30,35,21,-5,79.0,107.3,21.0,2,4,-2,3,2,0.67,0.837
Askia,2G,Pearl,0.873,185.7,40,44,13,-4,63.0,118.0,35.0,10,12,-2,3,0,0.0,0.836
nataNk,LEV,Pearl,0.825,190.5,25,33,16,-8,69.0,117.5,22.5,3,5,-2,2,0,0.0,0.829
lz,2G,Pearl,0.74,177.7,38,48,29,-10,76.3,105.0,34.0,3,4,-1,3,0,0.0,0.822
penny,C9,Pearl,0.828,179.2,62,71,24,-9,69.8,118.0,19.0,11,17,-6,4,2,0.5,0.82
NagZ,KRÜ,Pearl,0.87,142.0,18,28,10,-10,64.0,110.5,25.5,1,3,-2,2,0,0.0,0.789
tuyz,LOUD,Pearl,0.775,136.8,51,66,26,-15,69.0,94.5,32.2,4,5,-1,4,1,0.25,0.775
C0M,EG,Pearl,0.746,136.6,52,76,35,-24,68.2,95.0,19.2,4,8,-4,5,2,0.4,0.739
Okeanos,EG,Pearl,0.68,151.5,29,39,11,-10,64.0,100.5,30.0,8,9,-1,2,1,0.5,0.734
alym,FUR,Pearl,0.48,143.0,11,18,4,-7,70.0,90.0,31.0,3,2,1,1,0,0.0,0.729
heat,FUR,Pearl,0.68,159.0,26,40,4,-14,49.0,103.7,44.3,1,2,-1,3,0,0.0,0.721
infiltrator,KRÜ,Pearl,0.6,161.5,20,36,10,-16,60.0,109.5,21.0,6,8,-2,2,0,0.0,0.705
Virtyy,LOUD,Pearl,0.66,163.0,8,13,3,-5,60.0,92.0,15.0,1,4,-3,1,0,0.0,0.704
