URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/221183/weibo-gaming-vs-four-angry-men-valorant-champions-2023-china-qualifier-r2,Bind,Weibo Gaming,,11,Four Angry Men,,13,Four Angry Men
https://www.vlr.gg/221183/weibo-gaming-vs-four-angry-men-valorant-champions-2023-china-qualifier-r2,Haven,Weibo Gaming,,13,Four Angry Men,,4,Weibo Gaming
https://www.vlr.gg/221183/weibo-gaming-vs-four-angry-men-valorant-champions-2023-china-qualifier-r2,Split,Weibo Gaming,,13,Four Angry Men,,7,Weibo Gaming
https://www.vlr.gg/221183/weibo-gaming-vs-four-angry-men-valorant-champions-2023-china-qualifier-r2,AllMaps,Weibo Gaming,2,37,Four Angry Men,1,24,Weibo Gaming
https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2,Lotus,Rare Atom,,14,Monarch Effect,,12,Rare Atom
https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2,Ascent,Rare Atom,,8,Monarch Effect,,13,Monarch Effect
https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2,Bind,Rare Atom,,11,Monarch Effect,,13,Monarch Effect
https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2,AllMaps,Rare Atom,1,33,Monarch Effect,2,38,Monarch Effect
https://www.vlr.gg/221837/weibo-gaming-vs-nter-valorant-champions-2023-china-qualifier-r3,Fracture,Weibo Gaming,,13,Shenzhen NTER,,10,Weibo Gaming
https://www.vlr.gg/221837/weibo-gaming-vs-nter-valorant-champions-2023-china-qualifier-r3,Haven,Weibo Gaming,,13,Shenzhen NTER,,11,Weibo Gaming
https://www.vlr.gg/221837/weibo-gaming-vs-nter-valorant-champions-2023-china-qualifier-r3,AllMaps,Weibo Gaming,2,26,Shenzhen NTER,0,21,Weibo Gaming
https://www.vlr.gg/221838/royal-never-give-up-vs-nova-esports-valorant-champions-2023-china-qualifier-r3,Ascent,Royal Never Give Up,,11,Nova Esports,,13,Nova Esports
https://www.vlr.gg/221838/royal-never-give-up-vs-nova-esports-valorant-champions-2023-china-qualifier-r3,Bind,Royal Never Give Up,,13,Nova Esports,,4,Royal Never Give Up
https://www.vlr.gg/221838/royal-never-give-up-vs-nova-esports-valorant-champions-2023-china-qualifier-r3,Split,Royal Never Give Up,,13,Nova Esports,,11,Royal Never Give Up
https://www.vlr.gg/221838/royal-never-give-up-vs-nova-esports-valorant-champions-2023-china-qualifier-r3,AllMaps,Royal Never Give Up,2,37,Nova Esports,1,28,Royal Never Give Up
https://www.vlr.gg/221839/night-wings-gaming-vs-gank-gaming-valorant-champions-2023-china-qualifier-r3,Split,Night Wings Gaming,,13,Gank Gaming,,11,Night Wings Gaming
https://www.vlr.gg/221839/night-wings-gaming-vs-gank-gaming-valorant-champions-2023-china-qualifier-r3,Bind,Night Wings Gaming,,14,Gank Gaming,,12,Night Wings Gaming
https://www.vlr.gg/221839/night-wings-gaming-vs-gank-gaming-valorant-champions-2023-china-qualifier-r3,AllMaps,Night Wings Gaming,2,27,Gank Gaming,0,23,Night Wings Gaming
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,Pearl,Number One Player,,15,Monarch Effect,,13,Number One Player
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,Lotus,Number One Player,,10,Monarch Effect,,13,Monarch Effect
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,Bind,Number One Player,,13,Monarch Effect,,15,Monarch Effect
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,AllMaps,Number One Player,1,38,Monarch Effect,2,41,Monarch Effect
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,Pearl,Number One Player,,15,Monarch Effect,,13,Number One Player
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,Lotus,Number One Player,,10,Monarch Effect,,13,Monarch Effect
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,Bind,Number One Player,,13,Monarch Effect,,15,Monarch Effect
https://www.vlr.gg/221840/number-one-player-vs-monarch-effect-valorant-champions-2023-china-qualifier-r3,AllMaps,Number One Player,1,38,Monarch Effect,2,41,Monarch Effect
https://www.vlr.gg/221842/kingzone-vs-four-angry-men-valorant-champions-2023-china-qualifier-r3,Lotus,Kingzone,,4,Four Angry Men,,13,Four Angry Men
https://www.vlr.gg/221842/kingzone-vs-four-angry-men-valorant-champions-2023-china-qualifier-r3,Pearl,Kingzone,,4,Four Angry Men,,13,Four Angry Men
https://www.vlr.gg/221842/kingzone-vs-four-angry-men-valorant-champions-2023-china-qualifier-r3,AllMaps,Kingzone,0,8,Four Angry Men,2,26,Four Angry Men
https://www.vlr.gg/221841/totoro-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r3,Ascent,Totoro Gaming,,13,Douyu Gaming,,4,Totoro Gaming
https://www.vlr.gg/221841/totoro-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r3,Pearl,Totoro Gaming,,13,Douyu Gaming,,10,Totoro Gaming
https://www.vlr.gg/221841/totoro-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r3,AllMaps,Totoro Gaming,2,26,Douyu Gaming,0,14,Totoro Gaming
https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3,Lotus,Invincible Gaming,,13,Rare Atom,,11,Invincible Gaming
https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3,Bind,Invincible Gaming,,13,Rare Atom,,2,Invincible Gaming
https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3,AllMaps,Invincible Gaming,2,26,Rare Atom,0,13,Invincible Gaming
https://www.vlr.gg/221843/dragon-ranger-gaming-vs-tyloo-valorant-champions-2023-china-qualifier-r3,Bind,Dragon Ranger Gaming,,7,TYLOO,,13,TYLOO
https://www.vlr.gg/221843/dragon-ranger-gaming-vs-tyloo-valorant-champions-2023-china-qualifier-r3,Ascent,Dragon Ranger Gaming,,9,TYLOO,,13,TYLOO
https://www.vlr.gg/221843/dragon-ranger-gaming-vs-tyloo-valorant-champions-2023-china-qualifier-r3,AllMaps,Dragon Ranger Gaming,0,16,TYLOO,2,26,TYLOO
